CHROM	Start	Stop	LOCUS_ID
PyYM_01_v1	154883	155228	1_1
PyYM_01_v1	235349	235624	1_2
PyYM_03_v1	8277	8549	3_1
PyYM_03_v1	14189	14392	3_2
PyYM_03_v1	433182	433517	3_3
PyYM_03_v1	640218	640435	3_4
PyYM_04_v1	278888	279287	4_1
PyYM_04_v1	318850	319095	4_2
PyYM_04_v1	516193	516277	4_3
PyYM_04_v1	625916	626117	4_4
PyYM_04_v1	841572	841785	4_5
PyYM_05_v1	441647	441808	5_1
PyYM_06_v1	1010532	1010852	6_1
PyYM_07_v1	443414	443583	7_1
PyYM_08_v1	453125	453498	8_1
PyYM_08_v1	921824	921986	8_2
PyYM_08_v1	1037582	1037767	8_3
PyYM_09_v1	383534	383787	9_1
PyYM_09_v1	839398	839505	9_2
PyYM_09_v1	854351	854727	9_3
PyYM_09_v1	929999	930351	9_4
PyYM_10_v1	96084	96415	10_1
PyYM_10_v1	502535	502737	10_2
PyYM_10_v1	660498	660652	10_3
PyYM_10_v1	949736	949825	10_4
PyYM_10_v1	1134809	1135163	10_5
PyYM_10_v1	1166374	1166696	10_6
PyYM_11_v1	118244	118557	11_1
PyYM_11_v1	322850	323134	11_2
PyYM_11_v1	760129	760483	11_3
PyYM_11_v1	918584	918819	11_4
PyYM_11_v1	988423	988692	11_5
PyYM_11_v1	1257576	1257710	11_6
PyYM_11_v1	1451832	1452149	11_7
PyYM_11_v1	1619278	1619377	11_8
PyYM_12_v1	342199	342269	12_1
PyYM_12_v1	1625166	1625290	12_2
PyYM_12_v1	1669748	1669903	12_3
PyYM_13_v1	1243077	1243328	13_1
PyYM_14_v1	262044	262205	14_1
PyYM_14_v1	657358	657458	14_2
PyYM_14_v1	1174229	1174428	14_3
PyYM_14_v1	1300866	1300981	14_4
PyYM_14_v1	1586723	1586982	14_5
PyYM_14_v1	2031661	2031853	14_6
